,TotalSteps,TotalMinutesAsleep
0,13162,327.0
1,10735,384.0
3,9762,412.0
4,12669,340.0
5,9705,700.0
7,15506,304.0
8,10544,360.0
9,9819,325.0
11,14371,361.0
12,10039,430.0
13,15355,277.0
14,13755,245.0
16,13154,366.0
17,11181,341.0
18,14673,404.0
20,12207,383.0
21,12770,285.0
79,3176,119.0
80,18213,124.0
95,3844,644.0
108,4014,722.0
116,678,750.0
117,356,398.0
119,980,475.0
127,3761,296.0
128,1675,166.0
167,4414,503.0
168,4993,531.0
169,3335,545.0
170,3821,523.0
171,2547,524.0
172,838,437.0
174,2424,498.0
175,7222,461.0
176,2467,477.0
177,2915,520.0
178,12357,522.0
179,3490,555.0
180,6017,506.0
182,6088,508.0
183,6375,513.0
184,7604,490.0
185,4729,573.0
187,254,357.0
188,8580,523.0
189,8891,456.0
209,5079,61.0
230,10352,467.0
231,10129,445.0
232,10465,452.0
234,5472,556.0
235,8247,500.0
236,6711,465.0
238,10080,460.0
239,7804,405.0
240,16901,374.0
241,9471,442.0
242,9482,433.0
243,5980,436.0
244,11423,448.0
245,5439,408.0
246,42,411.0
298,8856,274.0
299,10035,295.0
300,7641,291.0
301,9010,424.0
302,13459,283.0
303,10415,381.0
304,11663,412.0
305,12414,219.0
306,11658,152.0
307,6093,332.0
308,8911,355.0
309,12058,235.0
310,14112,310.0
311,11177,262.0
312,11388,250.0
313,7193,349.0
314,7114,261.0
315,10645,333.0
316,13238,237.0
318,13072,312.0
328,8539,501.0
332,1982,77.0
336,5546,442.0
353,10210,535.0
354,5664,465.0
355,4744,506.0
357,2276,515.0
358,8925,461.0
359,8954,523.0
360,3702,59.0
361,4500,533.0
362,4935,692.0
363,4081,467.0
364,9259,488.0
365,9899,505.0
366,10780,286.0
367,10817,497.0
368,7990,523.0
369,8221,490.0
371,9487,487.0
372,9129,529.0
373,17,302.0
385,8758,499.0
386,6580,426.0
387,4660,619.0
388,11009,99.0
389,10181,329.0
390,10553,421.0
391,10055,442.0
392,12139,82.0
393,13236,478.0
394,10243,552.0
396,9461,319.0
397,11193,439.0
398,10074,428.0
400,12533,409.0
402,10299,354.0
403,10201,469.0
413,3276,429.0
414,2961,370.0
415,3974,441.0
416,7198,337.0
417,3945,462.0
418,2268,98.0
420,2064,388.0
421,2072,439.0
422,3809,436.0
423,6831,388.0
426,3385,328.0
427,6326,353.0
428,7243,332.0
429,4493,419.0
430,4676,106.0
431,6222,322.0
433,3915,405.0
434,9105,499.0
435,768,483.0
453,13743,126.0
458,9148,103.0
461,7833,171.0
475,7213,425.0
476,6877,400.0
477,7860,384.0
478,6506,253.0
479,11140,382.0
480,12692,591.0
481,9105,293.0
482,6708,457.0
483,8793,454.0
484,6530,425.0
486,15126,465.0
487,15050,480.0
488,9167,370.0
489,6108,421.0
490,7047,432.0
491,9023,442.0
492,9930,433.0
493,10144,479.0
495,10613,416.0
496,9810,354.0
497,2752,404.0
506,11596,441.0
507,4832,455.0
508,17022,357.0
509,16556,377.0
510,5771,651.0
511,655,350.0
512,3727,520.0
513,15482,357.0
514,2713,658.0
515,12346,399.0
516,11682,322.0
517,4112,631.0
518,1807,553.0
519,10946,433.0
520,11886,412.0
521,10538,347.0
522,11393,421.0
523,12764,450.0
524,1202,775.0
526,16358,418.0
527,4926,463.0
528,3121,438.0
537,8135,419.0
538,5077,432.0
539,8596,477.0
540,12087,392.0
541,14269,406.0
542,12231,549.0
543,9893,527.0
544,12574,449.0
545,8330,447.0
546,10830,414.0
547,9172,338.0
548,7638,384.0
549,15764,543.0
550,6393,421.0
551,5325,354.0
552,6805,424.0
553,9841,361.0
554,7924,459.0
555,12363,412.0
557,8869,504.0
558,4038,431.0
568,14450,380.0
569,7150,336.0
570,5153,493.0
571,11135,465.0
572,10449,474.0
573,19542,508.0
574,8206,480.0
575,11495,492.0
576,7623,353.0
579,9411,542.0
580,3403,393.0
581,9592,600.0
618,4053,235.0
619,5162,423.0
620,1282,391.0
635,10199,366.0
636,5652,630.0
637,1551,508.0
638,5563,370.0
639,13217,357.0
640,10145,427.0
641,11404,442.0
642,10742,476.0
643,13928,418.0
644,11835,451.0
645,10725,425.0
646,20031,528.0
647,5029,511.0
648,13239,400.0
649,10433,441.0
650,10320,455.0
651,12627,440.0
652,10762,433.0
653,10081,422.0
655,15448,469.0
656,6722,452.0
657,3587,516.0
670,4631,79.0
692,11317,514.0
693,5813,451.0
694,9123,472.0
695,8585,377.0
699,10688,472.0
700,14365,492.0
701,9469,390.0
702,9753,428.0
704,3520,681.0
705,10091,446.0
706,10387,485.0
707,11107,469.0
708,11584,354.0
710,14560,485.0
713,9572,451.0
714,3789,444.0
731,15108,486.0
734,22359,331.0
772,7626,338.0
773,12386,447.0
774,13318,424.0
775,14461,513.0
776,11207,611.0
777,2132,525.0
778,13630,398.0
779,13070,387.0
780,9388,381.0
781,15148,396.0
782,12200,441.0
783,5709,565.0
784,3703,458.0
785,12405,388.0
786,16208,550.0
787,7359,531.0
788,5417,506.0
789,6175,527.0
790,2946,468.0
792,6582,342.0
793,9143,368.0
794,4561,496.0
833,2564,458.0
834,1320,531.0
835,1219,486.0
836,2483,363.0
839,3147,528.0
841,4068,391.0
842,5245,339.0
845,1758,423.0
846,6157,402.0
847,8360,398.0
848,7174,343.0
